name,score,smiles,inchikey,source,mw
LCQ908,0.78,O=C(O)C[C@H]1CC[C@H](c2ccc(-c3ccc(Nc4ccc(C(F)(F)F)nc4)cn3)cc2)CC1,GXALXAKNHIROPE-QAQDUYKDSA-N,NAFLDkb_investigational,455.48
LYS006,0.78,NC(CC(=O)O)Cn1nnc(-c2ccc(Oc3ncc(Cl)cc3F)cc2)n1,ZEGMEJVULDALSH-UHFFFAOYSA-N,NAFLDkb_investigational,392.78
Lactulose,0.78,O=C(CO)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,PFCRQPBOOFTZGQ-VZXVHDRGSA-N,NAFLDkb_investigational,342.3
Lanifibranor,0.78,O=C(O)CCCc1cc2cc(Cl)ccc2n1S(=O)(=O)c1ccc2ncsc2c1,OQDQIFQRNZIEEJ-UHFFFAOYSA-N,NAFLDkb_investigational,434.93
Levothyroxine,0.78,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,XUIIKFGFIJCVMT-LBPRGKRZSA-N,NAFLDkb_investigational,776.87
Licogliflozin,0.78,CCc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc2c(c1)OCCO2,XFJAMQQAAMJFGB-ZQGJOIPISA-N,NAFLDkb_investigational,416.47
Linagliptin,0.78,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,LTXREWYXXSTFRX-QGZVFWFLSA-N,NAFLDkb_investigational,472.55
Lisinopril,0.78,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,RLAWWYSOJDYHDC-BZSNNMDCSA-N,NAFLDkb_investigational,405.5
Lobeglitazone,0.78,COc1ccc(Oc2cc(N(C)CCOc3ccc(CC4SC(=O)NC4=O)cc3)ncn2)cc1,CHHXEZSCHQVSRE-UHFFFAOYSA-N,NAFLDkb_investigational,480.55
Losartan,0.78,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,PSIFNNKUMBGKDQ-UHFFFAOYSA-N,NAFLDkb_investigational,422.92
Lovaza,0.78,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OCC.CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC,DTMGIJFHGGCSLO-FIAQIACWSA-N,NAFLDkb_investigational,687.06
Lubiprostone,0.78,CCCCC(F)(F)[C@@]1(O)CC[C@H]2[C@@H](CC(=O)[C@@H]2CCCCCCC(=O)O)O1,WGFOBBZOWHGYQH-MXHNKVEKSA-N,NAFLDkb_investigational,390.47
